outlet_id,outlet_name,url,outlet_type,community_id,city,state
140,KMMS-FM 95.1,http://mooseradio.com/,TV Station,13,"Bozeman, MT",MT
141,KZMY-FM 103.5,http://my1035.com/,Radio Station,13,"Bozeman, MT",MT
298,KWYB-TV 19,http://www.abcfoxmontana.com/,TV Station,13,"Bozeman, MT",MT
314,Bozeman Magpie,http://www.bozeman-magpie.com/,Online Only,13,"Bozeman, MT",MT
315,Bozeman Daily Chronicle,http://www.bozemandailychronicle.com/,Newspaper/Magazine,13,"Bozeman, MT",MT
396,KBZK-TV 7,http://www.kbzk.com/,TV Station,13,"Bozeman, MT",MT
407,KGLT-FM 91.9,http://www.kglt.net/,Radio Station,13,"Bozeman, MT",MT
419,"KOFK-LP 88.5, 98.3",http://www.kofkradio.org/,Radio Station,13,"Bozeman, MT",MT
471,KUSM-TV 9,http://www.montanapbs.org/,TV Station,13,"Bozeman, MT",MT
484,KDBZ-TV 6,http://www.nbcmontana.com/,TV Station,13,"Bozeman, MT",MT
511,KZBN-FM 90.3,http://www.radio74.net/,Radio Station,13,"Bozeman, MT",MT
560,Gallatin County News,http://www.thegallatincountynews.com/pages/index.php,Newspaper/Magazine,13,"Bozeman, MT",MT
645,K262AZ 100.3 FM,http://www.ynop.org/,Radio Station,13,"Bozeman, MT",MT
655,KBMC-FM 102.1,http://ypradio.org/,Radio Station,13,"Bozeman, MT",MT
94,KHKE FM 89.5,http://iowapublicradio.org/,Radio Station,14,"Cedar Falls, IA",IA
97,KOEL 98.5 FM,http://k985.com/,Radio Station,14,"Cedar Falls, IA",IA
170,Cedar Falls Patch,http://patch.com/iowa/cedarfalls,Online Only,14,"Cedar Falls, IA",IA
222,Waterloo Cedar Falls Courier,http://wcfcourier.com/,Newspaper/Magazine,14,"Cedar Falls, IA",IA
279,KCNZ AM 1650,http://www.1650thefan.com/,Radio Station,14,"Cedar Falls, IA",IA
397,KCFI AM 1250,http://www.kcfiradio.com/,Radio Station,14,"Cedar Falls, IA",IA
492,Northern Iowan,http://www.northerniowan.com/,Newspaper/Magazine,14,"Cedar Falls, IA",IA
30,KULT-LP FM 94.5,https://www.uni.edu/kult/,Radio Station,14,"Cedar Falls, IA",IA
95,Journal Gazette & Times Courier,http://jg-tc.com/,Newspaper/Magazine,15,"Charleston, IL",IL
342,The Daily Eastern News,http://www.dailyeasternnews.com/,Newspaper/Magazine,15,"Charleston, IL",IL
482,WWGO FM 92.1,http://www.myradiolink.com/,Radio Station,15,"Charleston, IL",IL
19,W213AW 90.5 FM,http://www.vcyamerica.org/,Radio Station,15,"Charleston, IL",IL
594,WEIU FM 88.9,http://www.weiu.net/,2 and 3,15,"Charleston, IL",IL
67,W227CR 93.3 FM,http://covnetpres.org/,Radio Station,15,"Charleston, IL",IL
62,Town of Cicero News Wire,http://ciceronewswire.blogspot.com/,Online Only,16,"Cicero, IL",IL
121,WLEY 107.9 FM,http://laley1079.lamusica.com/,Radio Station,16,"Cicero, IL",IL
253,WRLL AM 1450,http://wrll1450.com/,Radio Station,16,"Cicero, IL",IL
444,Lawndale News,http://www.lawndalenews.com/,Newspaper/Magazine,16,"Cicero, IL",IL
589,WCEV AM 1450,http://www.wcev1450.com/,Radio Station,16,"Cicero, IL",IL
65,Coppell Student Media,http://coppellstudentmedia.com/,Online Only,17,"Coppell, TX",TX
198,Coppell Gazette,http://starlocalmedia.com/coppellgazette/,Newspaper/Magazine,17,"Coppell, TX",TX
331,Coppell Citizens Advocate,http://www.coppellcitizensadvocate.com/,Newspaper/Magazine,17,"Coppell, TX",TX
659,Coppell on Bubble Life,https://coppell.bubblelife.com/,Online Only,17,"Coppell, TX",TX
185,Punjab Star News,http://punjabstarnews.com/,Newspaper/Magazine,18,"Corona, CA",CA
390,InnerCircle Corona,http://www.innercirclecorona.com/,Online Only,18,"Corona, CA",CA
434,KWRM-AM 1370,http://www.kwrm1370am.com/,Radio Station,18,"Corona, CA",CA
445,Life in Corona,http://www.lifeincorona.com/,Online Only,18,"Corona, CA",CA
514,KGIC-LP 105.5 FM,http://www.radioimpacto.org/,Radio Station,18,"Corona, CA",CA
552,KVEA TV 52,http://www.telemundo52.com/,TV Station,18,"Corona, CA",CA
573,The Sentinel Weekly,http://www.thesentinelweekly.com/,Newspaper/Magazine,18,"Corona, CA",CA
103,K278BP KFXN 100.3,http://kfan.iheart.com/,Radio Station,19,"Cottage Grove, MN",MN
546,South Washington County Bulletin,http://www.swcbulletin.com/,Newspaper/Magazine,19,"Cottage Grove, MN",MN
169,Darien Patch,http://patch.com/illinois/darien-il,Online Only,20,"Darien, IL",IL
72,Delaware State News and Maryland State News,http://delawarestatenews.net/,Newspaper/Magazine,21,"Dover, DE",DE
221,W277AH 103.3 FM,http://wceiradio.com/,Radio Station,21,"Dover, DE",DE
226,WDSD FM 94.7,http://wdsd.iheart.com/,Radio Station,21,"Dover, DE",DE
254,WRTX FM 91.7,http://wrti.org/,Radio Station,21,"Dover, DE",DE
321,WIHW-LP 96.1,http://www.cbcofdover.com/,Radio Station,21,"Dover, DE",DE
345,Delaware Politics,http://www.delawarepolitics.net/,Online Only,21,"Dover, DE",DE
349,Dover Post,http://www.doverpost.com/,Newspaper/Magazine,21,"Dover, DE",DE
356,W281BD 104.1 FM,http://www.espn930.com/,Radio Station,21,"Dover, DE",DE
483,W294BN 106.7 FM,http://www.myreachradio.com/,Radio Station,21,"Dover, DE",DE
616,WMDE TV 36,http://www.wmdetv.com/,TV Station,21,"Dover, DE",DE
617,WEVD-LP,http://www.wmdt.com/,TV Station,21,"Dover, DE",DE
660,Caesar Rodney Institute Blog,https://criblog.wordpress.com/,Online Only,21,"Dover, DE",DE
265,WXOS 101.1 FM,http://www.101sports.com/,Radio Station,22,"East St. Louis, IL",IL
359,The East St. Louis Monitor,http://www.estlmonitor.com/,Newspaper/Magazine,22,"East St. Louis, IL",IL
627,WQQX AM 1490,http://www.wqqx1490am.com/,Radio Station,22,"East St. Louis, IL",IL
240,WKUE FM 90.9,http://wkyufm.org/,Radio Station,23,"Elizabethtown, KY",KY
365,Fort Knox Gold Standard,http://www.fkgoldstandard.com/,Newspaper/Magazine,23,"Elizabethtown, KY",KY
403,WKZT TV 23 (PBS),http://www.ket.org/,TV Station,23,"Elizabethtown, KY",KY
509,WQXE FM 98.3,http://www.quicksie983.com/,Radio Station,23,"Elizabethtown, KY",KY
566,The News-Enterprise,http://www.thenewsenterprise.com/,Newspaper/Magazine,23,"Elizabethtown, KY",KY
584,W222CD 92.3 FM,http://www.waky1035.com/,Radio Station,23,"Elizabethtown, KY",KY
619,W283AK 104.5 FM,http://www.wolf943.com/,Radio Station,23,"Elizabethtown, KY",KY
325,Elm Leaves,http://www.chicagotribune.com/suburbs/elmwood-park/,Newspaper/Magazine,24,"Elmwood Park, IL",IL
102,KDHL AM 920,http://kdhlradio.com/,Radio Station,25,"Faribault, MN",MN
180,KQCL FM 95.9,http://power96radio.com/,Radio Station,25,"Faribault, MN",MN
364,Faribault County Register,http://www.faribaultcountyregister.com/,Newspaper/Magazine,25,"Faribault, MN",MN
478,KBGY FM 107.5,http://www.mybobcountry.com/,Radio Station,25,"Faribault, MN",MN
538,Faribault Daily News,http://www.southernminn.com/faribault_daily_news/,Newspaper/Magazine,25,"Faribault, MN",MN
200,Flower Mound Leader,http://starlocalmedia.com/theleader/,Newspaper/Magazine,26,"Flower Mound, TX",TX
337,The Cross Timbers Gazette,http://www.crosstimbersgazette.com/,Newspaper/Magazine,26,"Flower Mound, TX",TX
574,WTCK 96.7 FM,http://www.theticket.com/,Radio Station,26,"Flower Mound, TX",TX
565,The Neighborhood News: The Garfield Heights Tribune,http://www.theneighborhoodnews.com/,Newspaper/Magazine,27,"Garfield Heights, OH",OH
96,Joyce Clark Unfiltered,http://joyceclarkunfiltered.com/,Online Only,28,"Glendale, AZ",AZ
114,KTAR FM 92.3,http://ktar.com/,Radio Station,28,"Glendale, AZ",AZ
372,Glendale Star,http://www.glendalestar.com/,Newspaper/Magazine,28,"Glendale, AZ",AZ
580,KLNZ FM 103.5,http://www.tricolor1035.com/,Radio Station,28,"Glendale, AZ",AZ
14,KHOT 105.9 FM,http://www.univision.com/arizona/khot,Radio Station,28,"Glendale, AZ",AZ
646,Glendale Today (on YourWestValley.com; redirect),http://www.yourwestvalley.com/your_town/glendale/,Newspaper/Magazine,28,"Glendale, AZ",AZ
24,Visit Glendale and the West Valley,https://visitglendale.wordpress.com/,Online Only,28,"Glendale, AZ",AZ
86,Glendale Daily Planet,http://glendaledailyplanet.com/,Radio Station,NA,"Glendale, CA",CA
361,KPXQ AM 1360,http://www.faithtalk1360.com/,Online Only,NA,"Glendale, CA",CA
87,Glendora City News,http://glendoracitynews.com/,Online Only,29,"Glendora, CA",CA
